Origin,Activity ID,Vespa Category,Activity Name_en,Activity Name_cy,Month,Book,Activity Slides_en,Activity PDF_en,Activity Slides_cy,Activity PDF_cy,Welsh,Record ID
VESPA Handbook,183,Effort,Proactive vs Re-Active,Rhagweithiol vs Adweithiol,September,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/proactivevsreactive/slides.html"" width=""576"" height=""420"" title=""EFFORT - Proactive vs Re-Active"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Proactive%20vs%20Reactive%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616500c
VESPA Handbook,173,Vision,The Search For Meaning,Y Chwilio am Ystyr,June,VESPA Handbook,"<iframe src=""https://vespa-academy.slides.com/vespaslides/victorfrankl/embed?token=E3EWar01"" width=""576"" height=""420"" title=""VISION - The Search for Meaning"" allowfullscreen>
</iframe>",,,,No,66c37906db0d0602d3cd084c
VESPA Handbook,172,Vision,Odyssey Planning,Cynllunio Odyseia,May,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/odysseyplanning/slides.html"" width=""576"" height=""420"" title=""VISION - Odyssey Planning"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Odyssey%20Planning%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd0841
VESPA Handbook,171,Vision,Lifestyle Envy vs Job Envy,Cenfigen Ffordd o Fyw vs Cenfigen Swydd,April,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/lifestyleenvyvsjobenvy/slides.html"" width=""576"" height=""420"" title=""VISION - Lifestyle Envy vs Job Envy"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Lifestyle%20vs%20Job%20Envy%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd0836
VESPA Handbook,170,Vision,Divers & Thrivers,Deifwyr a Ffynwyr,March,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/divers%26thrivers/slides.html"" width=""576"" height=""420"" title=""VISION - Divers & Thrivers"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Diverandthriver%20Goals%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd082b
VESPA Handbook,169,Vision,The Paths are Well Lit,Mae'r Llwybrau wedi'u Goleuo'n Dda,Febuary,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/pathsarewelllit/slides.html"" width=""576"" height=""420"" title=""VISION - The Paths are Well Lit"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Paths%20are%20well%20lit%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd0820
VESPA Handbook,168,Vision,Outcome Control,Rheoli Canlyniadau,January,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/outcomecontrol/slides.html"" width=""576"" height=""420"" title=""VISION -Outcome Control"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Outcome%20Control%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd0815
VESPA Handbook,167,Vision,A Question of Money,Cwestiwn o Arian,December,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/aquestionofmoney/slides.html"" width=""576"" height=""420"" title=""VISION - A Question of Money"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Question%20of%20Money%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd080a
VESPA Handbook,166,Vision,Ikigai,Ikigai,November,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/ikigai/slides.html"" width=""576"" height=""420"" title=""VISION - Ikigai"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Ikigai%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd07ff
VESPA Handbook,165,Vision,Sweet & Sour Summers,Hafau Melys a Sur,October,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/sweet%26soursummers/slides.html"" width=""576"" height=""420"" title=""VISION - Sweet & Sour Summers"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Sweet%20%26%20Sour%20Summers%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd07f4
VESPA Handbook,164,Vision,Another 20 Questions,20 Cwestiwn Arall,September,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/VISION/Another20questions/slides.html"" width=""576"" height=""420"" title=""VISION - Another 20 Questions"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%2020%20More%20Questions%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66c37906db0d0602d3cd07e9
VESPA Handbook,137,Attitude,Intro Slides,Sleidiau Cyflwyno,September,VESPA Handbook,"<iframe src=""https://vespa-academy.slides.com/vespaslides/vespa-intro-slides/embed?token=evj_tXoA"" width=""576"" height=""420"" title=""General VESPA Intro Slides"" allowfullscreen>
</iframe>",,,,No,652801769fccf90029fc9620
ALevel Mindset,91,Attitude,Stand Tall,Sefyll yn Dal,May,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRzS3wEM5_VTgO033YUMgB-L2z9Dv-fJIhjbRxuAyeTgNoFslAiAv0FethhY8KeCT4INjGgnNhdPUKA/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A8-Stand%20Tall.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f3fa899ff4b001b9b3846
ALevel Mindset,90,Attitude,There & Back,Yno ac yn Ôl,May,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRoIOAdLx_9ZKlNRg7DqUMdE5e74GIfMLnqXrucRTbquiX1O0zlyRvmxiOzqXx53_mCsyr3UaKQSbW8/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A4-There%20%26%20Back.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f3f8f2e418a0021b82a33
ALevel Mindset,84,Attitude,Stopping Negative Thoughts,Stopio Meddyliau Negyddol,March,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vT35kw571-gm1aiHUtb291IwEXeDHSaEzyaC4TdHZ0KMHa3t6X2ITggTgClAom_FijYInxqGMMgNnWQ/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A2-Stopping Negative Thoughts.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f3e432e418a0021b82929
ALevel Mindset,75,Attitude,Failing Forwards,Methu Ymlaen,December,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vT2iQOTl6G_L_TjGWm17FLjd3R2hVft_jPqix386Gn-PeAcBxG1izEAKLu0yDbnyu_KpvLK-2YoUxBG/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A5-Falling Forwards.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f3bce508623001e2f50a3
ALevel Mindset,66,Attitude,Force Field Analysis,Dadansoddiad Maes Grym,November,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQfzWvUYQE1LTYentK41Bly-UrWHRHpQocZ12Jo_5M9U8FK0V0CSiwsPPG08wOe9tzJBVn3BwGCWIi3/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A1-Force Field.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f37edc95d72001ecc1667
ALevel Mindset,60,Attitude,Kill your Critic,Lladdwch Eich Beirniad,October,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQicY9ZNCqELf_Dt1lGrDxAqSNmXTxIGYXnlwWXYThCDeEk_zycmDOSiPB2UsxmDFfjn3awDx2n7aAx/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A3-Kill your Critic.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,"<iframe src=""https://slides.com/vespaslides/lladdwch-eich-beirniad/embed?token=zkjLoSuq;mouseWheel=true"" width=""576"" height=""420"" title=""6.AGWEDD - Lladdwch Eich Beirniad"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A3-Lladdwch%20eich%20Beirniad.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LAWRLWYTHWCH PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,Yes,607f31810f0db5001c462b24
ALevel Mindset,56,Attitude,The Vampire Test,Prawf y Fampir,September,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQUEhRuhkeBo6cRPnoP_FxxhZ7BXh2K_6zdR3lr8r165ZWXZ-ovxCrb-dXMyLEn9fpNyJUqfo2s6KAs/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A7-Vampire Test.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f2f0434c775001bf70a4d
ALevel Mindset,55,Attitude,The Change Curve,Cromlin y Newid,September,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTayrTey3nhg6isYUzzGAR2MP8XiWCZkPU1pl-JId6BuDysM4FJ9t4x7XS_sdxlu4aarRI5Bza78vzv/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A6-Change Curve.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />",,,,No,607f2ec434c775001bf70a12
ALevel Mindset,79,Effort,Power of If,Pŵer Os,February,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRe855LUdjF2rpM5DDwrMmth2yBenB2AwHqxIjGSJo7Fpak24hE2L0QNG0-pwwS3isnrt6h9m1JiWTb/embed?start=false&loop=false&delayms=3000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E8-Power%20of%20If-Then%20thinking.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f3d38e913fa001c6acc10
ALevel Mindset,78,Effort,Working Weeks,Wythnosau Gwaith,February,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTpnXJ3XgXiouMoWxCLPe9Lm60dZgGFjc67OfHVuBpdiKSE6LMuhrI5tOAvTxgJWe2jZhO7JPA3RFma/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E2-Working Weeks.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f3d230f0db5001c463714
ALevel Mindset,69,Effort,Inner Storytelling,Adrodd Straeon Mewnol,December,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRyMEJIAVwAMDVKQcvoKQa25Q8qVLaJKBQcNacY3CL1CoMstVbsB3hltUe8lFM0nOQeHP58XNRxJbSj/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E7 - Inner Story Telling.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f3a0f99ff4b001b9b33c8
ALevel Mindset,68,Effort,10min Rule,Rheol 10 Munud,December,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vT926XIUXfdtaoamVuKI9aL_o6VNs-yH0VxByQyQr_YPj4V3TZBZuYeqAvpVnCIy4ackQG7MonqKc5R/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E6 - 10Min Rule.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f39f9e913fa001c6ac9b6
ALevel Mindset,64,Effort,Frogs & Bannisters,Llyffantod a Chanllawiau,November,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vThDMwe4A1Ld-QVlp7h4Mnp0HNfGTgaGxEv6n5eFnUG-Ova0JOb91XRltVEzjr7iE3L1xg2ftU3tFv7/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E5 - Frogs & Bannisters.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f35fc0f0db5001c463087
ALevel Mindset,63,Effort,Recognising your Blockers,Adnabod eich Rhwystrau,November,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTp099qtsgaR6ZZreND9jVgS824g2jYKBf03Ea10MbQWbYd89imhHeu6I9dNTBSr92QuslOMhLB-yF1/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E4-Recognising your Blockers.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,,,No,607f35262b0bda001ccd2ae7
ALevel Mindset,57,Effort,The Three R's of Habit,Arfer Y '3' A,October,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQ5IKyhc_5VDUtDte099WWyHwOj3PctlOYN2i4nYCjkpRbJF9c3ArXZtG-HPWz4cbhmBdsRitOmWgAQ/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E3 - 3R's of Habit.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,"<iframe src=""https://slides.com/vespaslides/arfery3a/embed?token=3aS_dFPB;mouseWheel=true"" width=""576"" height=""420"" title=""Arfer Y '3' A "" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E3-Arfer%20y%20Tair%20%E2%80%98A%E2%80%99%20%28The%20Three%20Rs%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LAWRLWYTHWCH PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,Yes,607f2fc63b9a8f001d79f4bb
ALevel Mindset,54,Effort,One to Ten Scale,Y Raddfa 1-10,September,ALevel Mindset,"<iframe src=""https://vespa-academy.slides.com/vespaslides/1-10scale/embed?token=5Cf2X2ni"" width=""576"" height=""420"" title=""EFFORT - The 1-10 Scale"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E1-1-10 Scale.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />",,"<iframe src=""https://slides.com/vespaslides/y-raddfa-1-10/embed?token=rj_z3Bz6;mouseWheel=true"" width=""576"" height=""420"" title=""Y Raddfa 1-10"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E1-Y%20Raddfa%201%E2%80%9310.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LAWRLWYTHWCH PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,Yes,607f2e922b0bda001ccd240a
GCSE Mindset,43,Practice,Test Yourself,Profwch Eich Hun,March,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTy2YzcJLrQrgF1_c1465zdyoHOTaNGYXnVQ6TEAv5CdMC0LDqD2OY6LymuMp91yM2CZDTS2utPvWYu/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Test Yourself.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae352585f77001bc1b318
GCSE Mindset,42,Practice,Spaced Practice,Ymarfer Gofodol,March,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vR19-JJ3rNEG-pAQfqWTI0sR4WhNY77pAzc6yFElfxk7mPxb1CAS3dSlncM6_5CENGkvuvkUqJE6J7H/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Spaced Practice.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae31e76f731001b3b2f82
GCSE Mindset,41,Practice,K-SPA,K-SPA,March,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTAg_rBmDE9ELNWcU403sBtPPzbi7xkuPIqnaf-jjIYSKGvIN6DyU6R0exYBhKrA20aw9DkqO_2BlKm/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - K-SPA.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae2f577a5c5001bd41cdf
GCSE Mindset,39,Practice,Will vs Skill,Ewyllys vs Sgil,February,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRMs5dPJHVVUpoU3cSnqOhETBl2YoR_pb4HxlqOvzLxk8QJQEQDaR7x9dpJFwhqhvQJIgS2My3vNiGW/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Will vs Skill.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae195067d36001b5fc89b
GCSE Mindset,38,Practice,The Nine Box Grid,Y Grid Naw Blwch,February,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRqYmembtkr9nNnq1-6V1RkolaU3ONL1jllz01xrRgTMzUVPCmo3ddWARqnBsaaskm5Xa1GljmOW0vj/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - 9 Box Grid.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae157067d36001b5fc860
GCSE Mindset,27,Practice,It's Time to Teach,Mae'n Amser Dysgu,December,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vSX-0QSoqlmrkvZzxxTEkcRTXuw6t4ZbbSWtKpQqQ00SPwhU-slwYkx5Qu-GB9F0U0D4Dy5fni8GHiH/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Time to Teach.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607adc49067d36001b5fc2d5
