"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"The Peleton","9","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20The%20Peleton%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20The%20Peleton%28editable%29.pdf","November","Low-Mid","EF9","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20The%20Peleton%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d53"
"Kill your Critic","10","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A3-Kill your Critic.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A3-Kill%20your%20Critic.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A3-Kill%20your%20Critic.pdf","October","High","AT310","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A3-Kill%20your%20Critic.pdf","","","Yes","6089d72473aa75001b498c29"
"Building Independent Learning","10","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Building Independent Learning.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Building%20Independent%20Learning.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Building%20Independent%20Learning.pdf","November","Low-Mid","PR210","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Building%20Independent%20Learning.pdf","Yes","Yes","","608ae7cebbfb9c001c32ad9a"
"A3-Lladdwch eich Beirniad","10","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A3-Lladdwch%20eich%20Beirniad.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A3-Lladdwch%20eich%20Beirniad.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A3-Lladdwch%20eich%20Beirniad.pdf","October","High","AT310","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A3-Lladdwch%20eich%20Beirniad.pdf","","","Yes","645d5399e06f930b58f988e7"
"Indisctractible","10","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Indestractible%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Indestractible%28editable%29.pdf","November","Low-Mid","EF10","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Indestractible%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d5d"
"21st Birthday","11","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V3 - 21st Birthday.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V3%20-%2021st%20Birthday.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V3%20-%2021st%20Birthday.pdf","November","Low-Mid","VI311","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V3%20-%2021st%20Birthday.pdf","Yes","Yes","","608513eb119807001b7404fb"
"3 Types of Attention","11","2","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS - 3 Types of Attention.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%203%20Types%20of%20Attention.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%203%20Types%20of%20Attention.pdf","November","Mid","SY211","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%203%20Types%20of%20Attention.pdf","","Yes","","60851833919162001b6e2644"
"V3-Eich Pen-blwydd yn 21","11","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V3-Eich%20Pen-blwydd%20yn%2021.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V3-Eich%20Pen-blwydd%20yn%2021.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V3-Eich%20Pen-blwydd%20yn%2021.pdf","November","Low-Mid","VI311","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V3-Eich%20Pen-blwydd%20yn%2021.pdf","Yes","Yes","","645d53a4e06f930b58f98928"
"Ikigai","11","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Ikigai%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Ikigai%28editable%29.pdf","November","All","VI11","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Ikigai%28editable%29.pdf","","","","670fd72b7a774b02cea96d67"
"Network Audits","12","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - Network Audits.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Network%20Audits.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Network%20Audits.pdf","April","Low-Mid","AT212","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Network%20Audits.pdf","Yes","Yes","","6089d63b6bd968001c3e04c7"
"Frogs & Bannisters","12","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E5 - Frogs & Bannisters.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E5%20-%20Frogs%20%26%20Bannisters.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E5%20-%20Frogs%20%26%20Bannisters.pdf","November","High","EF312","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E5%20-%20Frogs%20%26%20Bannisters.pdf","","","Yes","608ae37e649eb4001b1634fd"
"E5-Llyffantod a Chanllawiau Grisiau","12","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E5-Llyffantod%20a%20Chanllawiau%20Grisiau.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E5-Llyffantod%20a%20Chanllawiau%20Grisiau.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E5-Llyffantod%20a%20Chanllawiau%20Grisiau.pdf","November","High","EF312","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E5-Llyffantod%20a%20Chanllawiau%20Grisiau.pdf","","","Yes","645d536ee06f930b58f987fd"
"ODA","12","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20ODA%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20ODA%28editable%29.pdf","December","Mid-High","AT12","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20ODA%28editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96c4c"
"Recognising your Blockers","13","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E4-Recognising your Blockers.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E4-Recognising%20your%20Blockers.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E4-Recognising%20your%20Blockers.pdf","November","Mid-High","EF313","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E4-Recognising%20your%20Blockers.pdf","","Yes","Yes","608ae334494c43001b13c56f"
"Looking Under Rocks","13","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - Looking under Rocks.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Looking%20under%20Rocks.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Looking%20under%20Rocks.pdf","February","Mid","EF213","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Looking%20under%20Rocks.pdf","","Yes","","608ae4f5494c43001b13c77a"
"E4-Adnabod Eich Blocwyr","13","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E4-Adnabod%20Eich%20Blocwyr.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E4-Adnabod%20Eich%20Blocwyr.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E4-Adnabod%20Eich%20Blocwyr.pdf","November","Mid-High","EF313","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E4-Adnabod%20Eich%20Blocwyr.pdf","","Yes","Yes","645d536ee06f930b58f987f0"
"Disruption Cost vs Deep Work","13","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Disruption%20Cost%20and%20Deep%20Work%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Disruption%20Cost%20and%20Deep%20Work%28editable%29.pdf","December","Low-Mid","EF13","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Disruption%20Cost%20and%20Deep%20Work%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96c58"
"Snack Don't Binge","14","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S3-Snack,don't Binge.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S3-Snack%2Cdon%27t%20Binge.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S3-Snack%2Cdon%27t%20Binge.pdf","November","Mid-High","SY314","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S3-Snack%2Cdon%27t%20Binge.pdf","","Yes","Yes","60851778119807001b7417a1"
"The Practice Questionnaire","14","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Practice Questionnaire.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Practice%20Questionnaire.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Practice%20Questionnaire.pdf","December","All","PR214","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Practice%20Questionnaire.pdf","","","","608ae67e8b428a001b50e099"
"S3-Byrbryd, nid Gorfwyta (neu’r Adolygiad)","14","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S3-Byrbryd%2C%20nid%20Gorfwyta%20%28neu%E2%80%99r%20Adolygiad%29.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S3-Byrbryd%2C%20nid%20Gorfwyta%20%28neu%E2%80%99r%20Adolygiad%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S3-Byrbryd%2C%20nid%20Gorfwyta%20%28neu%E2%80%99r%20Adolygiad%29.pdf","November","Mid-High","SY314","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S3-Byrbryd%2C%20nid%20Gorfwyta%20%28neu%E2%80%99r%20Adolygiad%29.pdf","","Yes","Yes","645d538ee06f930b58f9889f"
"Have to, Ought to, Want to","14","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Have%20to%2COught%20to%2CWant%20to%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Have%20to%2COught%20to%2CWant%20to%28editable%29.pdf","December","Low-Mid","SY14","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Have%20to%2COught%20to%2CWant%20to%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96c63"
"Fix your Dashboard","15","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V4 - Fix your Dashboard.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V4%20-%20Fix%20your%20Dashboard.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V4%20-%20Fix%20your%20Dashboard.pdf","December","Low","VI315","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V4%20-%20Fix%20your%20Dashboard.pdf","Yes","","","6085141a63e5b0001cf79c46"
"The 3 How's of Independent Work","15","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - 3 How's of Independent Work.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%203%20How%27s%20of%20Independent%20Work.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%203%20How%27s%20of%20Independent%20Work.pdf","February","High","EF215","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%203%20How%27s%20of%20Independent%20Work.pdf","","","Yes","608ae3bb494c43001b13c620"
"V4-Gwirio Eich Dangosfwrdd","15","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V4-Gwirio%20Eich%20Dangosfwrdd.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V4-Gwirio%20Eich%20Dangosfwrdd.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V4-Gwirio%20Eich%20Dangosfwrdd.pdf","December","Low","VI315","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V4-Gwirio%20Eich%20Dangosfwrdd.pdf","Yes","","","645d53a5e06f930b58f98934"
"Question of Money","15","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Question%20of%20Money%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Question%20of%20Money%28editable%29.pdf","December","All","VI15","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Question%20of%20Money%28editable%29.pdf","","","","670fd72a7a774b02cea96c6d"
"Time to Teach","16","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none;"" />
<p style=""text-align:center;""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/LEVEL2PDFS/PRACTICE - Time to Teach.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122);"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none;"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Time%20to%20Teach.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Time%20to%20Teach.pdf","December","Mid-High","PR216","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Time%20to%20Teach.pdf","","Yes","Yes","608ae69f8b428a001b50e0af"
"Learn from Mistakes","16","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P7-Learn from Mistakes.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P7-Learn%20from%20Mistakes.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P7-Learn%20from%20Mistakes.pdf","December","Mid-High","PR316","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P7-Learn%20from%20Mistakes.pdf","","Yes","Yes","608ae782bbfb9c001c32ad2f"
"P7-Dysgu o Gamgymeriadau","16","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P7-Dysgu%20o%20Gamgymeriadau.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P7-Dysgu%20o%20Gamgymeriadau.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P7-Dysgu%20o%20Gamgymeriadau.pdf","December","Mid-High","PR316","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P7-Dysgu%20o%20Gamgymeriadau.pdf","","Yes","Yes","645d5384e06f930b58f98865"
"Check Ahead, Check Back","16","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Check%20Ahead%2C%20Check%20Back%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Check%20Ahead%2C%20Check%20Back%28editable%29.pdf","January","Low-Mid","AT16","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Check%20Ahead%2C%20Check%20Back%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96ca9"
"Setting a Personal Best","17","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Personal Best.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Best.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Best.pdf","December","Low","VI217","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Best.pdf","Yes","","","6085157e45797e001d577f0f"
"Inner Storytelling","17","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E7 - Inner Story Telling.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E7%20-%20Inner%20Story%20Telling.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E7%20-%20Inner%20Story%20Telling.pdf","December","Mid","EF317","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E7%20-%20Inner%20Story%20Telling.pdf","","Yes","","608ae39e649eb4001b163515"
"E7-Dweud Stori Fewnol","17","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E7-Dweud%20Stori%20Fewnol.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E7-Dweud%20Stori%20Fewnol.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E7-Dweud%20Stori%20Fewnol.pdf","December","Mid","EF317","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E7-Dweud%20Stori%20Fewnol.pdf","","Yes","","645d5375e06f930b58f9880d"
